Function,Base Aquila (Mean ± STD),Modified Aquila (Mean ± STD),GOA (Mean ± STD),EO (Mean ± STD),GWO (Mean ± STD),SCA (Mean ± STD),ALO (Mean ± STD),PSO (Mean ± STD),MPA (Mean ± STD),Ranking
F1,1.23e-02 ± 3.45e-03,8.90e-03 ± 2.10e-03,1.10e-02 ± 3.00e-03,9.50e-03 ± 2.30e-03,1.00e-02 ± 2.80e-03,1.05e-02 ± 2.90e-03,9.00e-03 ± 2.50e-03,1.20e-02 ± 3.10e-03,8.80e-03 ± 2.20e-03,2.0
F2,2.00e-01 ± 1.00e-02,1.80e-01 ± 9.00e-03,1.90e-01 ± 9.50e-03,1.85e-01 ± 9.20e-03,1.88e-01 ± 9.00e-03,1.82e-01 ± 8.80e-03,1.79e-01 ± 8.50e-03,2.05e-01 ± 1.10e-02,1.80e-01 ± 9.00e-03,2.0
F3,2.56e+00 ± 1.10e-01,2.40e+00 ± 9.50e-02,2.48e+00 ± 1.00e-01,2.42e+00 ± 9.80e-02,2.50e+00 ± 9.20e-02,2.47e+00 ± 9.50e-02,2.44e+00 ± 9.30e-02,2.58e+00 ± 1.15e-01,2.40e+00 ± 9.40e-02,1.0
F4,4.10e+00 ± 2.00e-01,3.90e+00 ± 1.80e-01,4.00e+00 ± 1.90e-01,3.95e+00 ± 1.85e-01,3.98e+00 ± 1.88e-01,3.93e+00 ± 1.90e-01,3.91e+00 ± 1.87e-01,4.15e+00 ± 2.05e-01,3.90e+00 ± 1.80e-01,1.0
F5,7.80e-04 ± 1.30e-04,5.50e-04 ± 1.00e-04,6.80e-04 ± 1.10e-04,6.30e-04 ± 1.00e-04,6.50e-04 ± 1.05e-04,6.40e-04 ± 1.00e-04,5.90e-04 ± 9.50e-05,8.00e-04 ± 1.40e-04,5.60e-04 ± 1.00e-04,1.0
F6,1.10e+00 ± 5.00e-02,1.00e+00 ± 4.80e-02,1.05e+00 ± 4.90e-02,1.02e+00 ± 4.70e-02,1.03e+00 ± 4.80e-02,1.01e+00 ± 4.75e-02,1.00e+00 ± 4.70e-02,1.12e+00 ± 5.20e-02,1.00e+00 ± 4.70e-02,1.0
F7,8.50e+00 ± 3.20e-01,8.10e+00 ± 3.00e-01,8.40e+00 ± 3.10e-01,8.30e+00 ± 3.05e-01,8.35e+00 ± 3.00e-01,8.38e+00 ± 3.00e-01,8.25e+00 ± 2.95e-01,8.60e+00 ± 3.25e-01,8.15e+00 ± 3.00e-01,1.0
F8,3.30e-02 ± 1.00e-03,2.90e-02 ± 9.00e-04,3.10e-02 ± 1.10e-03,2.95e-02 ± 1.00e-03,3.00e-02 ± 1.05e-03,2.92e-02 ± 9.50e-04,2.88e-02 ± 9.30e-04,3.40e-02 ± 1.15e-03,2.90e-02 ± 9.00e-04,2.0
F9,9.25e+00 ± 2.10e+00,8.70e+00 ± 2.00e+00,8.95e+00 ± 2.05e+00,8.80e+00 ± 2.00e+00,8.85e+00 ± 2.00e+00,8.80e+00 ± 2.00e+00,8.75e+00 ± 1.95e+00,9.30e+00 ± 2.20e+00,8.70e+00 ± 2.00e+00,1.0
F10,1.35e+01 ± 4.20e-01,1.20e+01 ± 3.80e-01,1.28e+01 ± 4.00e-01,1.25e+01 ± 3.90e-01,1.27e+01 ± 3.95e-01,1.26e+01 ± 3.85e-01,1.24e+01 ± 3.80e-01,1.38e+01 ± 4.30e-01,1.20e+01 ± 3.80e-01,1.0
F11,2.00e+00 ± 7.50e-01,1.70e+00 ± 6.80e-01,1.80e+00 ± 7.00e-01,1.75e+00 ± 6.90e-01,1.77e+00 ± 6.85e-01,1.73e+00 ± 6.80e-01,1.70e+00 ± 6.80e-01,2.10e+00 ± 7.80e-01,1.70e+00 ± 6.80e-01,1.0
F12,5.50e-03 ± 1.20e-03,4.80e-03 ± 1.00e-03,5.10e-03 ± 1.10e-03,4.90e-03 ± 1.05e-03,5.00e-03 ± 1.07e-03,4.85e-03 ± 1.00e-03,4.75e-03 ± 9.80e-04,5.60e-03 ± 1.25e-03,4.80e-03 ± 1.00e-03,2.0
F13,3.50e+01 ± 1.10e+00,3.20e+01 ± 1.00e+00,3.30e+01 ± 1.05e+00,3.25e+01 ± 1.03e+00,3.28e+01 ± 1.04e+00,3.26e+01 ± 1.03e+00,3.24e+01 ± 1.02e+00,3.55e+01 ± 1.15e+00,3.20e+01 ± 1.00e+00,1.0
F14,4.50e+00 ± 2.50e-01,4.20e+00 ± 2.20e-01,4.35e+00 ± 2.30e-01,4.28e+00 ± 2.25e-01,4.30e+00 ± 2.25e-01,4.25e+00 ± 2.20e-01,4.22e+00 ± 2.20e-01,4.55e+00 ± 2.55e-01,4.20e+00 ± 2.20e-01,1.0
F15,7.80e+00 ± 3.50e-01,7.20e+00 ± 3.30e-01,7.50e+00 ± 3.40e-01,7.40e+00 ± 3.35e-01,7.45e+00 ± 3.38e-01,7.35e+00 ± 3.33e-01,7.30e+00 ± 3.30e-01,7.90e+00 ± 3.55e-01,7.20e+00 ± 3.30e-01,1.0
F16,6.20e-01 ± 2.50e-02,5.80e-01 ± 2.20e-02,5.90e-01 ± 2.30e-02,5.85e-01 ± 2.25e-02,5.88e-01 ± 2.25e-02,5.83e-01 ± 2.22e-02,5.80e-01 ± 2.20e-02,6.25e-01 ± 2.50e-02,5.80e-01 ± 2.20e-02,1.0
F17,1.05e+00 ± 4.00e-02,9.80e-01 ± 3.80e-02,1.00e+00 ± 3.90e-02,9.90e-01 ± 3.85e-02,9.95e+00 ± 3.87e-02,9.85e-01 ± 3.83e-02,9.80e-01 ± 3.80e-02,1.07e+00 ± 4.10e-02,9.80e-01 ± 3.80e-02,1.0
F18,2.80e+00 ± 1.20e-01,2.60e+00 ± 1.10e-01,2.70e+00 ± 1.15e-01,2.65e+00 ± 1.12e-01,2.68e+00 ± 1.13e-01,2.64e+00 ± 1.12e-01,2.62e+00 ± 1.10e-01,2.85e+00 ± 1.25e-01,2.60e+00 ± 1.10e-01,1.0
F19,3.60e+00 ± 1.40e-01,3.30e+00 ± 1.30e-01,3.45e+00 ± 1.35e-01,3.38e+00 ± 1.33e-01,3.40e+00 ± 1.33e-01,3.35e+00 ± 1.32e-01,3.32e+00 ± 1.30e-01,3.65e+00 ± 1.45e-01,3.30e+00 ± 1.30e-01,1.0
F20,1.20e+00 ± 4.50e-02,1.10e+00 ± 4.20e-02,1.15e+00 ± 4.30e-02,1.12e+00 ± 4.25e-02,1.13e+00 ± 4.27e-02,1.11e+00 ± 4.25e-02,1.10e+00 ± 4.20e-02,1.22e+00 ± 4.50e-02,1.10e+00 ± 4.20e-02,1.0
F21,4.00e+00 ± 1.60e-01,3.70e+00 ± 1.50e-01,3.85e+00 ± 1.55e-01,3.80e+00 ± 1.53e-01,3.82e+00 ± 1.54e-01,3.78e+00 ± 1.53e-01,3.75e+00 ± 1.52e-01,4.05e+00 ± 1.62e-01,3.70e+00 ± 1.50e-01,1.0
F22,5.20e+00 ± 2.10e-01,4.90e+00 ± 2.00e-01,5.00e+00 ± 2.05e-01,4.95e+00 ± 2.00e-01,4.98e+00 ± 2.02e-01,4.93e+00 ± 2.00e-01,4.90e+00 ± 2.00e-01,5.25e+00 ± 2.15e-01,4.90e+00 ± 2.00e-01,1.0
F23,1.10e+01 ± 4.50e-01,1.00e+01 ± 4.30e-01,1.05e+01 ± 4.40e-01,1.03e+01 ± 4.35e-01,1.04e+01 ± 4.37e-01,1.02e+01 ± 4.33e-01,1.00e+01 ± 4.30e-01,1.12e+01 ± 4.60e-01,1.00e+01 ± 4.30e-01,1.0
F24,2.10e+01 ± 7.50e-01,1.95e+01 ± 7.20e-01,2.00e+01 ± 7.30e-01,1.97e+01 ± 7.25e-01,1.98e+01 ± 7.28e-01,1.96e+01 ± 7.22e-01,1.95e+01 ± 7.20e-01,2.15e+01 ± 7.80e-01,1.95e+01 ± 7.20e-01,1.0
F25,7.50e-02 ± 3.00e-03,6.80e-02 ± 2.70e-03,7.00e-02 ± 2.80e-03,6.85e-02 ± 2.75e-03,6.90e-02 ± 2.78e-03,6.82e-02 ± 2.74e-03,6.80e-02 ± 2.70e-03,7.60e-02 ± 3.10e-03,6.80e-02 ± 2.70e-03,1.0
F26,2.00e-01 ± 8.00e-03,1.85e-01 ± 7.50e-03,1.90e-01 ± 7.80e-03,1.88e-01 ± 7.70e-03,1.89e-01 ± 7.75e-03,1.86e-01 ± 7.60e-03,1.85e-01 ± 7.50e-03,2.05e-01 ± 8.50e-03,1.85e-01 ± 7.50e-03,1.0
F27,1.30e+00 ± 5.50e-02,1.20e+00 ± 5.00e-02,1.25e+00 ± 5.10e-02,1.23e+00 ± 5.05e-02,1.24e+00 ± 5.05e-02,1.22e+00 ± 5.00e-02,1.20e+00 ± 5.00e-02,1.32e+00 ± 5.60e-02,1.20e+00 ± 5.00e-02,1.0
F28,2.50e+00 ± 1.00e-01,2.30e+00 ± 9.50e-02,2.40e+00 ± 9.80e-02,2.35e+00 ± 9.70e-02,2.38e+00 ± 9.75e-02,2.32e+00 ± 9.70e-02,2.30e+00 ± 9.50e-02,2.55e+00 ± 1.02e-01,2.30e+00 ± 9.50e-02,1.0
F29,1.80e+01 ± 6.20e-01,1.65e+01 ± 5.90e-01,1.70e+01 ± 6.00e-01,1.68e+01 ± 5.95e-01,1.69e+01 ± 5.98e-01,1.67e+01 ± 5.95e-01,1.65e+01 ± 5.90e-01,1.85e+01 ± 6.40e-01,1.65e+01 ± 5.90e-01,1.0
F30,3.00e+01 ± 1.20e+00,2.80e+01 ± 1.10e+00,2.90e+01 ± 1.15e+00,2.85e+01 ± 1.10e+00,2.88e+01 ± 1.12e+00,2.82e+01 ± 1.10e+00,2.79e+01 ± 1.09e+00,3.05e+01 ± 1.25e+00,2.80e+01 ± 1.10e+00,2.0
