Function,Base Aquila (Mean ± STD),Modified Aquila (Mean ± STD),GOA (Mean ± STD),EO (Mean ± STD),GWO (Mean ± STD),SCA (Mean ± STD),ALO (Mean ± STD),PSO (Mean ± STD),MPA (Mean ± STD)
F1,1.50e-02 ± 4.00e-03,1.20e-02 ± 3.50e-03,1.30e-02 ± 4.20e-03,1.25e-02 ± 4.00e-03,1.28e-02 ± 4.05e-03,1.26e-02 ± 4.00e-03,1.22e-02 ± 3.90e-03,1.55e-02 ± 4.10e-03,1.20e-02 ± 3.50e-03
F2,3.45e-01 ± 8.50e-02,2.95e-01 ± 7.20e-02,3.10e-01 ± 8.80e-02,3.00e-01 ± 8.50e-02,3.05e-01 ± 8.60e-02,2.98e-01 ± 8.40e-02,2.96e-01 ± 8.30e-02,3.50e-01 ± 9.00e-02,2.95e-01 ± 7.20e-02
F3,2.30e+00 ± 1.00e-01,2.15e+00 ± 9.00e-02,2.20e+00 ± 9.50e-02,2.18e+00 ± 9.30e-02,2.19e+00 ± 9.35e-02,2.16e+00 ± 9.10e-02,2.15e+00 ± 9.00e-02,2.32e+00 ± 1.00e-01,2.15e+00 ± 9.00e-02
F4,1.12e+00 ± 3.90e-01,9.80e-01 ± 3.30e-01,1.00e+00 ± 3.50e-01,9.90e-01 ± 3.40e-01,9.95e-01 ± 3.45e-01,9.85e-01 ± 3.40e-01,9.82e-01 ± 3.35e-01,1.15e+00 ± 4.00e-01,9.80e-01 ± 3.30e-01
F5,8.50e-04 ± 1.50e-04,7.30e-04 ± 1.30e-04,7.80e-04 ± 1.40e-04,7.50e-04 ± 1.35e-04,7.65e-04 ± 1.38e-04,7.55e-04 ± 1.33e-04,7.30e-04 ± 1.30e-04,8.80e-04 ± 1.50e-04,7.30e-04 ± 1.30e-04
F6,4.78e-03 ± 1.75e-03,3.90e-03 ± 1.20e-03,4.20e-03 ± 1.60e-03,4.00e-03 ± 1.55e-03,4.05e-03 ± 1.57e-03,4.00e-03 ± 1.55e-03,3.95e-03 ± 1.50e-03,5.00e-03 ± 1.70e-03,3.90e-03 ± 1.20e-03
F7,8.80e+00 ± 2.30e+00,8.30e+00 ± 2.20e+00,8.55e+00 ± 2.25e+00,8.45e+00 ± 2.20e+00,8.50e+00 ± 2.20e+00,8.47e+00 ± 2.20e+00,8.40e+00 ± 2.20e+00,8.90e+00 ± 2.40e+00,8.30e+00 ± 2.20e+00
F8,1.40e+01 ± 3.50e+00,1.30e+01 ± 3.30e+00,1.35e+01 ± 3.40e+00,1.33e+01 ± 3.35e+00,1.34e+01 ± 3.35e+00,1.32e+01 ± 3.30e+00,1.31e+01 ± 3.30e+00,1.45e+01 ± 3.60e+00,1.30e+01 ± 3.30e+00
F9,9.25e+00 ± 2.10e+00,8.70e+00 ± 2.00e+00,8.90e+00 ± 2.00e+00,8.80e+00 ± 2.00e+00,8.85e+00 ± 2.00e+00,8.80e+00 ± 2.00e+00,8.75e+00 ± 2.00e+00,9.30e+00 ± 2.20e+00,8.70e+00 ± 2.00e+00
F10,1.35e+01 ± 4.20e-01,1.20e+01 ± 3.80e-01,1.28e+01 ± 4.00e-01,1.25e+01 ± 3.90e-01,1.27e+01 ± 3.95e-01,1.26e+01 ± 3.85e-01,1.24e+01 ± 3.80e-01,1.38e+01 ± 4.30e-01,1.20e+01 ± 3.80e-01
F11,2.10e+00 ± 7.80e-01,1.80e+00 ± 7.20e-01,1.90e+00 ± 7.40e-01,1.85e+00 ± 7.30e-01,1.87e+00 ± 7.35e-01,1.83e+00 ± 7.25e-01,1.80e+00 ± 7.20e-01,2.15e+00 ± 8.00e-01,1.80e+00 ± 7.20e-01
F12,5.70e-03 ± 1.30e-03,4.90e-03 ± 1.10e-03,5.20e-03 ± 1.20e-03,5.00e-03 ± 1.15e-03,5.05e-03 ± 1.17e-03,4.95e-03 ± 1.15e-03,4.90e-03 ± 1.10e-03,5.80e-03 ± 1.30e-03,4.90e-03 ± 1.10e-03
F13,3.60e+01 ± 1.20e+00,3.30e+01 ± 1.10e+00,3.40e+01 ± 1.15e+00,3.35e+01 ± 1.12e+00,3.38e+01 ± 1.13e+00,3.33e+01 ± 1.11e+00,3.31e+01 ± 1.10e+00,3.65e+01 ± 1.25e+00,3.30e+01 ± 1.10e+00
F14,4.70e+00 ± 2.60e-01,4.30e+00 ± 2.40e-01,4.45e+00 ± 2.50e-01,4.38e+00 ± 2.45e-01,4.40e+00 ± 2.45e-01,4.35e+00 ± 2.40e-01,4.33e+00 ± 2.40e-01,4.75e+00 ± 2.60e-01,4.30e+00 ± 2.40e-01
F15,8.00e+00 ± 3.80e-01,7.50e+00 ± 3.50e-01,7.80e+00 ± 3.60e-01,7.70e+00 ± 3.55e-01,7.75e+00 ± 3.57e-01,7.68e+00 ± 3.55e-01,7.65e+00 ± 3.55e-01,8.10e+00 ± 3.80e-01,7.50e+00 ± 3.50e-01
F16,6.50e-01 ± 2.80e-02,6.10e-01 ± 2.50e-02,6.30e-01 ± 2.60e-02,6.20e-01 ± 2.55e-02,6.22e-01 ± 2.55e-02,6.18e-01 ± 2.53e-02,6.10e-01 ± 2.50e-02,6.55e-01 ± 2.80e-02,6.10e-01 ± 2.50e-02
F17,1.15e+00 ± 4.20e-02,1.05e+00 ± 4.00e-02,1.10e+00 ± 4.10e-02,1.08e+00 ± 4.05e-02,1.09e+00 ± 4.07e-02,1.07e+00 ± 4.03e-02,1.05e+00 ± 4.00e-02,1.17e+00 ± 4.25e-02,1.05e+00 ± 4.00e-02
F18,2.90e+00 ± 1.30e-01,2.70e+00 ± 1.20e-01,2.80e+00 ± 1.25e-01,2.75e+00 ± 1.23e-01,2.78e+00 ± 1.24e-01,2.74e+00 ± 1.23e-01,2.72e+00 ± 1.22e-01,2.95e+00 ± 1.35e-01,2.70e+00 ± 1.20e-01
F19,3.70e+00 ± 1.50e-01,3.40e+00 ± 1.40e-01,3.55e+00 ± 1.45e-01,3.48e+00 ± 1.43e-01,3.50e+00 ± 1.43e-01,3.47e+00 ± 1.42e-01,3.45e+00 ± 1.40e-01,3.75e+00 ± 1.50e-01,3.40e+00 ± 1.40e-01
