Function A,Function B,Statistic,p-value,IsSignificant
F12014,F22014,0.0,1.7763568394002505e-15,Yes
F12014,F32014,0.0,1.7763568394002505e-15,Yes
F12014,F42014,0.0,1.7763568394002505e-15,Yes
F12014,F52014,0.0,1.7763568394002505e-15,Yes
F12014,F62014,0.0,1.7763568394002505e-15,Yes
F12014,F72014,0.0,1.7763568394002505e-15,Yes
F12014,F82014,0.0,1.7763568394002505e-15,Yes
F12014,F92014,0.0,1.7763568394002505e-15,Yes
F12014,F102014,0.0,1.7763568394002505e-15,Yes
F12014,F112014,0.0,1.7763568394002505e-15,Yes
F12014,F122014,0.0,1.7763568394002505e-15,Yes
F12014,F132014,0.0,1.7763568394002505e-15,Yes
F12014,F12017,0.0,1.7763568394002505e-15,Yes
F12014,F22017,0.0,1.7763568394002505e-15,Yes
F12014,F32017,0.0,1.7763568394002505e-15,Yes
F12014,F42017,0.0,1.7763568394002505e-15,Yes
F12014,F52017,0.0,1.7763568394002505e-15,Yes
F12014,F62017,0.0,1.7763568394002505e-15,Yes
F12014,F72017,0.0,1.7763568394002505e-15,Yes
F12014,F82017,0.0,1.7763568394002505e-15,Yes
F12014,F92017,0.0,1.7763568394002505e-15,Yes
F12014,F12020,0.0,1.7763568394002505e-15,Yes
F12014,F22020,0.0,1.7763568394002505e-15,Yes
F12014,F32020,0.0,1.7763568394002505e-15,Yes
F12014,F42020,0.0,1.7763568394002505e-15,Yes
F12014,F12022,0.0,1.7763568394002505e-15,Yes
F12014,F22022,0.0,1.7763568394002505e-15,Yes
F12014,F32022,0.0,1.7763568394002505e-15,Yes
F12014,F42022,0.0,1.7763568394002505e-15,Yes
F22014,F32014,0.0,1.7763568394002505e-15,Yes
F22014,F42014,0.0,1.7763568394002505e-15,Yes
F22014,F52014,0.0,1.7763568394002505e-15,Yes
F22014,F62014,0.0,1.7763568394002505e-15,Yes
F22014,F72014,0.0,1.7763568394002505e-15,Yes
F22014,F82014,0.0,1.7763568394002505e-15,Yes
F22014,F92014,0.0,1.7763568394002505e-15,Yes
F22014,F102014,0.0,1.7763568394002505e-15,Yes
F22014,F112014,0.0,1.7763568394002505e-15,Yes
F22014,F122014,0.0,1.7763568394002505e-15,Yes
F22014,F132014,0.0,1.7763568394002505e-15,Yes
F22014,F12017,215.0,1.8759072675678112e-05,Yes
F22014,F22017,0.0,1.7763568394002505e-15,Yes
F22014,F32017,0.0,1.7763568394002505e-15,Yes
F22014,F42017,0.0,1.7763568394002505e-15,Yes
F22014,F52017,0.0,1.7763568394002505e-15,Yes
F22014,F62017,0.0,1.7763568394002505e-15,Yes
F22014,F72017,0.0,1.7763568394002505e-15,Yes
F22014,F82017,0.0,1.7763568394002505e-15,Yes
F22014,F92017,0.0,1.7763568394002505e-15,Yes
F22014,F12020,215.0,1.8759072675678112e-05,Yes
F22014,F22020,0.0,1.7763568394002505e-15,Yes
F22014,F32020,0.0,1.7763568394002505e-15,Yes
F22014,F42020,0.0,1.7763568394002505e-15,Yes
F22014,F12022,0.0,1.7763568394002505e-15,Yes
F22014,F22022,0.0,1.7763568394002505e-15,Yes
F22014,F32022,0.0,1.7763568394002505e-15,Yes
F22014,F42022,0.0,1.7763568394002505e-15,Yes
F32014,F42014,0.0,1.7763568394002505e-15,Yes
F32014,F52014,0.0,1.7763568394002505e-15,Yes
F32014,F62014,0.0,1.7763568394002505e-15,Yes
